Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2023-12-15,"Dec 15, 2023",197.53,198.40,197.02,197.57,197.57,114815314
2023-12-14,"Dec 14, 2023",198.02,199.62,196.16,198.11,198.11,66831600
2023-12-13,"Dec 13, 2023",195.09,198.00,194.85,197.96,197.96,70404200
2023-12-12,"Dec 12, 2023",193.08,194.72,191.72,194.71,194.71,52696900
2023-12-11,"Dec 11, 2023",193.11,193.49,191.42,193.18,193.18,60943700
2023-12-08,"Dec 08, 2023",194.20,195.99,193.67,195.71,195.71,53377300
2023-12-07,"Dec 07, 2023",193.63,195.00,193.59,194.27,194.27,47477700
2023-12-06,"Dec 06, 2023",194.45,194.76,192.11,192.32,192.32,41089700
2023-12-05,"Dec 05, 2023",190.21,194.40,190.18,193.42,193.42,66628400
2023-12-04,"Dec 04, 2023",189.98,190.05,187.45,189.43,189.43,43389500
2023-12-01,"Dec 01, 2023",190.33,191.56,189.23,191.24,191.24,45679300
2023-11-30,"Nov 30, 2023",189.84,190.32,188.19,189.95,189.95,48794400
2023-11-29,"Nov 29, 2023",190.90,192.09,188.97,189.37,189.37,43014200
2023-11-28,"Nov 28, 2023",189.78,191.08,189.40,190.40,190.4,38415400
2023-11-27,"Nov 27, 2023",189.92,190.67,188.90,189.79,189.79,40552600
2023-11-24,"Nov 24, 2023",190.87,190.90,189.25,189.97,189.97,24048300
2023-11-22,"Nov 22, 2023",191.49,192.93,190.83,191.31,191.31,39617700
2023-11-21,"Nov 21, 2023",191.41,191.52,189.74,190.64,190.64,38134500
2023-11-20,"Nov 20, 2023",189.89,191.91,189.88,191.45,191.45,46505100
2023-11-17,"Nov 17, 2023",190.25,190.38,188.57,189.69,189.69,50922700
2023-11-16,"Nov 16, 2023",189.57,190.96,188.65,189.71,189.71,54412900
2023-11-15,"Nov 15, 2023",187.85,189.50,187.78,188.01,188.01,53790500
2023-11-14,"Nov 14, 2023",187.70,188.11,186.30,187.44,187.44,60108400
2023-11-13,"Nov 13, 2023",185.82,186.03,184.21,184.80,184.8,43627500
2023-11-10,"Nov 10, 2023",183.97,186.57,183.53,186.40,186.4,66133400
2023-11-09,"Nov 09, 2023",182.96,184.12,181.81,182.41,182.17,53763500
2023-11-08,"Nov 08, 2023",182.35,183.45,181.59,182.89,182.65,49340300
2023-11-07,"Nov 07, 2023",179.18,182.44,178.97,181.82,181.58,70530000
2023-11-06,"Nov 06, 2023",176.38,179.43,176.21,179.23,178.99,63841300
2023-11-03,"Nov 03, 2023",174.24,176.82,173.35,176.65,176.42,79763700
2023-11-02,"Nov 02, 2023",175.52,177.78,175.46,177.57,177.34,77334800
2023-11-01,"Nov 01, 2023",171.00,174.23,170.12,173.97,173.74,56934900
2023-10-31,"Oct 31, 2023",169.35,170.90,167.90,170.77,170.55,44846000
2023-10-30,"Oct 30, 2023",169.02,171.17,168.87,170.29,170.07,51131000
2023-10-27,"Oct 27, 2023",166.91,168.96,166.83,168.22,168.0,58499100
2023-10-26,"Oct 26, 2023",170.37,171.38,165.67,166.89,166.67,70625300
2023-10-25,"Oct 25, 2023",171.88,173.06,170.65,171.10,170.87,57157000
2023-10-24,"Oct 24, 2023",173.05,173.67,171.45,173.44,173.21,43816600
2023-10-23,"Oct 23, 2023",170.91,174.01,169.93,173.00,172.77,55980100
2023-10-20,"Oct 20, 2023",175.31,175.42,172.64,172.88,172.65,64189300
2023-10-19,"Oct 19, 2023",176.04,177.84,175.19,175.46,175.23,59302900
2023-10-18,"Oct 18, 2023",175.58,177.58,175.11,175.84,175.61,54764400
2023-10-17,"Oct 17, 2023",176.65,178.42,174.80,177.15,176.92,57549400
