List No,Title,URL
1,Welcome to Python.org,https://www.python.org/
2,,"https://freelance-start.com/articles/408#:~:text=%E3%81%A3%E3%81%A6%E4%BD%95%EF%BC%9F-,2.Python%E3%81%AE%E7%BF%92%E5%BE%97%E6%99%82%E9%96%93%E3%81%AE%E7%9B%AE%E5%AE%89,%E7%9B%AE%E5%AE%89%E3%81%A8%E3%81%AA%E3%82%8B%E3%81%A7%E3%81%97%E3%82%87%E3%81%86%E3%80%82"
3,,"https://kinsta.com/jp/blog/python-vs-java/#:~:text=%E3%81%A9%E3%81%A1%E3%82%89%E3%82%82%E6%AF%94%E8%BC%83%E7%9A%84%E4%BD%BF%E3%81%84,%E9%96%93%E3%81%A7%E4%BA%BA%E6%B0%97%E3%81%8C%E3%81%82%E3%82%8A%E3%81%BE%E3%81%99%E3%80%82"
4,,"https://www.hallo.jp/fs/column/20230331/#:~:text=Python%E3%81%AE%E5%9F%BA%E6%9C%AC%E3%82%92%E7%BF%92%E5%BE%97,%E3%81%93%E3%81%A8%E3%81%8C%E3%81%A7%E3%81%8D%E3%82%8B%E3%81%A7%E3%81%97%E3%82%87%E3%81%86%E3%80%82"
5,,https://tech-stock.com/magazine/what-can-you-do-with-python/
6,python.jp: プログラミング言語 Python 総合情報サイト,https://www.python.jp/
7,Python チュートリアル — Python 3.12.1 ドキュメント,https://docs.python.org/ja/3/tutorial/
8,［Python入門］Pythonってどんな言語なの？ - ITmedia,https://atmarkit.itmedia.co.jp/ait/articles/1904/02/news024.html
9,Pythonとは？特徴やできること、活用例をわかりやすく簡単に解説,https://www.sejuku.net/blog/7720
10,Amazon.co.jp: Python - プログラミング / コンピュータ・IT: 本,https://www.amazon.co.jp/%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0-Python-%E3%82%B3%E3%83%B3%E3%83%94%E3%83%A5%E3%83%BC%E3%82%BF%E3%83%BBIT/s?rh=n%3A492352%2Cp_n_feature_seven_browse-bin%3A3232405051
11,Pythonとは？プログラミング言語の用途を初心者向けに解説,https://coeteco.jp/articles/10661
12,とほほのPython入門,https://www.tohoho-web.com/python/
13,Python,https://ja.wikipedia.org/wiki/Python
14,プログラミング言語 Pythonの紹介,https://www.python.jp/pages/about.html
15,もっと見る,https://www.google.com/search?q=python&sca_esv=592945511&ei=y8mEZenZCt3T2roPy5u34AU&start=10&sa=N
16,,
